id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
39,GU,38,1,NAT,NA,NA,0,NA,8,NA,3
40,GU,39,0,NAT,NA,NA,4,0.1425,3,G3_02H,3
41,GU,39,0,NAT,NA,NA,4,0.166,4,G3_02H,3
42,GU,14,0,NAT,NA,NA,0,NA,10,NA,3
43,GU,42,1,NAT,NA,NA,0,NA,7,NA,3
44,GU,43,1,NAT,NA,NA,5,NA,3,G3_02H,3
45,GU,44,1,NAT,NA,NA,9,0.266,8,G3_02H,3
46,GU,18,0,NAT,NA,NA,0,NA,6,NA,3
47,GU,46,1,NAT,NA,NA,14,NA,17,G3_02E,3
48,GU,47,1,NAT,NA,NA,15,0.2725,15,G3_02E,3
49,GU,46,0,NAT,NA,NA,2,0.128,7,G3_02E,3
50,GU,46,0,NAT,NA,NA,5,0.1515,9,G3_02E,3
51,GU,18,0,NAT,NA,NA,0,0.7135,9,NA,3
52,GU,51,1,NAT,NA,NA,3,NA,17,G3_02D,3
53,GU,52,1,NAT,NA,NA,17,NA,22,G3_02D,3
54,GU,53,1,NAT,NA,NA,16,0.2785,13,G3_02D,3
55,GU,52,0,NAT,NA,NA,11,0.2185,16,G3_02D,3
56,GU,52,0,NAT,NA,NA,9,0.2245,15,G3_02D,3
57,GU,51,0,NAT,NA,NA,0,NA,17,NA,3
58,GU,57,1,2020-09-12,2,2,18,0.394,23,G3_02A,3
59,GU,51,0,NAT,NA,NA,2,NA,12,G3_02C,3
60,GU,59,1,NAT,NA,NA,15,0.2935,19,G3_02C,3
61,GU,51,0,NAT,NA,NA,9,NA,15,G3_02B,3
62,GU,61,1,NAT,NA,NA,16,0.2845,18,G3_02B,3
63,GU,19,0,NAT,NA,NA,3,0.8505,17,G3_03E,3
64,GU,63,1,NAT,NA,NA,0,NA,6,NA,3
65,GU,64,1,NAT,NA,NA,9,NA,18,G3_03B,3
66,GU,65,0,NAT,NA,NA,11,0.3065,24,G3_03A,3
67,GU,65,0,NAT,NA,NA,11,0.2245,18,G3_03A,3
68,GU,65,0,NAT,NA,NA,18,0.3725,30,G3_03A,3
69,GU,65,0,2020-09-12,2,2,7,0.3075,20,G3_03A,3
70,GU,65,0,NAT,NA,NA,10,0.279,22,G3_03A,3
71,GU,65,0,2020-09-12,1,1,10,0.341,25,G3_03A,3
72,GU,64,0,NAT,NA,NA,1,NA,7,G3_03B,3
73,GU,72,1,NAT,NA,NA,6,0.2025,12,G3_03B,3
74,GU,64,0,NAT,NA,NA,1,NA,8,G3_03B,3
75,GU,74,1,NAT,NA,NA,8,0.21,11,G3_03B,3
76,GU,64,0,NAT,NA,NA,2,NA,13,G3_03C,3
77,GU,76,0,NAT,NA,NA,10,0.206,16,G3_03C,3
78,GU,76,0,NAT,NA,NA,12,0.2985,21,G3_03C,3
79,GU,76,0,NAT,NA,NA,8,0.1835,13,G3_03C,3
80,GU,63,0,NAT,NA,NA,5,0.1725,12,G3_03C,3
81,GU,19,0,NAT,NA,NA,2,0.8545,15,G3_03E,3
82,GU,81,0,NAT,NA,NA,4,NA,10,G3_03E,3
83,GU,82,1,NAT,NA,NA,9,0.229,15,G3_03E,3
84,GU,81,0,NAT,NA,NA,11,NA,16,G3_03F,3
85,GU,84,1,NAT,NA,NA,18,0.3675,22,G3_03F,3
86,GU,81,0,NAT,NA,NA,0,NA,6,G3_03D,3
87,GU,86,1,NAT,NA,NA,9,NA,17,G3_03D,3
88,GU,87,1,NAT,NA,NA,13,NA,27,G3_03D,3
89,GU,88,1,NAT,NA,NA,0,0.344,15,G3_03D,3
90,GU,86,0,NAT,NA,NA,13,NA,23,G3_03D,3
91,GU,90,1,NAT,NA,NA,4,0.2915,12,G3_03D,3
92,GU,86,0,NAT,NA,NA,10,NA,25,G3_03D,3
